IssueID,RelatedPrID,IssueCategory,Participants,IsMPLF,SentimentScore
67831,[68779],Data bug,3,0,0.06666666666666667
68034,[68166],Processor bug,3,1,0.4
68059,[68139],Code bug,2,0,-0.3333333333333333
68541,[68600],Code bug,2,0,-1.0
68727,[70545],Processor bug,5,1,0.0
69346,[78999],Deployment bug,7,1,0.15384615384615385
69413,[80811],Algorithm design bug,5,0,0.7
71458,[83166],Processor bug,7,0,1.4444444444444444
72763,[80495],Deployment bug,6,0,-0.3333333333333333
73193,[76526],Algorithm design bug,5,1,1.7142857142857142
74166,[79642],Processor bug,2,0,0.0
74440,81577,Code bug,2,0,0.75
74488,77277,Documentation bug,1,1,0.0
74805,[79666],Build bug,4,0,-1.125
74949,[75001],Build bug,3,0,0.16666666666666666
75496,[75741],Build bug,1,0,0.0
75704,[77857],Data bug,2,0,1.5
75852,[84993],Algorithm design bug,3,1,1.8571428571428572
76033,[85539],Documentation bug,1,1,0.0
76094,[78326],Build bug,6,0,0.1111111111111111
76283,[79990],Code bug,3,1,-0.2222222222222222
76430,[76584],Data bug,5,1,0.4
76434,[76435],Algorithm design bug,2,0,0.9
76587,[85594],Algorithm design bug,3,1,0.3333333333333333
76602,[77143],Deployment bug,3,1,0.6
76616,[77029],Data bug,3,1,1.5714285714285714
76630,[77035],Data bug,1,1,1.0
76652,[78553],Build bug,3,0,0.5
76791,[77001],Processor bug,3,1,0.3
77139,[83623],Performance bug,8,0,0.8823529411764706
77206,[78849],Documentation bug,6,0,0.9
77394,80068,Code bug,4,1,-0.18181818181818182
77472,[77480],Data bug,1,1,-2.0
77494,[78441],Deployment bug,3,0,0.3333333333333333
77533,77534,Data bug,3,0,1.3333333333333333
77704,[77727],Build bug,2,0,-0.3333333333333333
77829,[78230],Processor bug,5,1,-0.3333333333333333
77845,79193,Deployment bug,2,1,0.7142857142857143
78009,[78010],Processor bug,2,0,3.0
78091,78092,Processor bug,1,1,1.6666666666666667
78107,[78440],Processor bug,2,1,0.2
78236,[78585],Code bug,1,0,3.0
78252,[78541],Code bug,1,0,0.0
78490,[78632],Build bug,15,0,-0.25
78791,[78888],Documentation bug,2,0,1.5
78844,[78944],Test bug,3,1,-0.6666666666666666
78852,[79263],Deployment bug,3,0,0.14285714285714285
78975,[85957],Test bug,2,0,-1.0
79146,[79570],Test bug,4,1,-0.18181818181818182
79190,[79864],Build bug,2,0,-1.0
79358,[85958],Build bug,2,0,0.0
79361,[80003],Deployment bug,2,0,1.6666666666666667
79384,[79465],Processor bug,3,1,-0.5
79449,[79524],Data bug,3,0,0.6666666666666666
79519,[79520],Code bug,1,0,0.0
79527,[79676],Processor bug,1,1,2.0
79583,[79929],Deployment bug,5,0,-0.16666666666666666
79735,[79854],Code bug,1,0,3.0
79828,79829,Processor bug,2,0,-0.7142857142857143
79859,[80234],Deployment bug,2,0,0.5
79871,[79926],Build bug,3,0,0.0
79914,[80254],Data bug,1,1,0.0
79933,[80607],Processor bug,4,0,1.25
79963,[81579],Code bug,2,0,1.0
80006,[80049],Processor bug,4,1,1.0
80018,[80432],Build bug,4,0,0.0
80212,[80258],Build bug,2,0,0.0
80306,[80597],Processor bug,7,1,-0.25
80373,[80369],Test bug,1,0,0.0
80433,[80955],Data bug,1,0,3.0
80483,[80492],Data bug,3,0,-0.42857142857142855
80489,[81058],Version compatibility bug,6,0,0.4117647058823529
80499,[80502],Processor bug,1,1,1.0
80599,[80600],Version compatibility bug,3,1,-0.6666666666666666
80732,[85726],Processor bug,3,1,0.0
80733,[80843],Version compatibility bug,2,0,0.0
80839,[80882],Documentation bug,1,0,0.0
80848,[80849],Build bug,1,0,0.0
80850,[81480],Processor bug,3,1,0.3333333333333333
